,typeid,typename,section,sub-section
0,12,未知(隐藏)-未知,未知,未知(隐藏)
1,15,连载剧集(隐藏)-电视剧,电视剧,连载剧集(隐藏)
2,16,flash游戏(隐藏)-游戏,游戏,flash游戏(隐藏)
3,17,单机游戏-游戏,游戏,单机游戏
4,19,Mugen-游戏,游戏,Mugen
5,20,宅舞-舞蹈,舞蹈,宅舞
6,21,日常-生活,生活,日常
7,22,鬼畜调教-鬼畜,鬼畜,鬼畜调教
8,24,MAD·AMV-动画,动画,MAD·AMV
9,25,MMD·3D-动画,动画,MMD·3D
10,26,音MAD-鬼畜,鬼畜,音MAD
11,27,综合-动画,动画,综合
12,28,原创音乐-音乐,音乐,原创音乐
13,29,音乐现场-音乐,音乐,音乐现场
14,30,VOCALOID·UTAU-音乐,音乐,VOCALOID·UTAU
15,31,翻唱-音乐,音乐,翻唱
16,32,完结动画-番剧,番剧,完结动画
17,33,连载动画-番剧,番剧,连载动画
18,37,人文历史-纪录片,纪录片,人文历史
19,39,演讲· 公开课-科技,科技,演讲· 公开课
20,41,未知(隐藏)-未知,未知,未知(隐藏)
21,43,未知(隐藏)-未知,未知,未知(隐藏)
22,46,MMD.3D(隐藏)-动画,动画,MMD.3D(隐藏)
23,47,短片·手书·配音-动画,动画,短片·手书·配音
24,50,短片·手书·配音(隐藏)-动画,动画,短片·手书·配音(隐藏)
25,51,资讯-番剧,番剧,资讯
26,53,综合(隐藏)-动画,动画,综合(隐藏)
27,54,OP/ED/OST(隐藏)-音乐,音乐,OP/ED/OST(隐藏)
28,56,VOCALOID(隐藏)-音乐,音乐,VOCALOID(隐藏)
29,59,演奏-音乐,音乐,演奏
30,60,电子竞技(隐藏)-游戏,游戏,电子竞技(隐藏)
31,63,未知(隐藏)-未知,未知,未知(隐藏)
32,65,网络游戏-游戏,游戏,网络游戏
33,67,单机游戏(隐藏)-游戏,游戏,单机游戏(隐藏)
34,71,综艺-娱乐,娱乐,综艺
35,74,日常(隐藏)-生活,生活,日常(隐藏)
36,75,动物圈-生活,生活,动物圈
37,76,美食圈-生活,生活,美食圈
38,77,动物圈(隐藏)-生活,生活,动物圈(隐藏)
39,79,动物圈(隐藏)-生活,生活,动物圈(隐藏)
40,80,美食圈(隐藏)-生活,生活,美食圈(隐藏)
41,82,电影相关(隐藏)-电影,电影,电影相关(隐藏)
42,83,其他国家-电影,电影,其他国家
43,85,短片-影视,影视,短片
44,86,特摄-影视,影视,特摄
45,94,完结动画(隐藏)-动画,动画,完结动画(隐藏)
46,95,手机平板-数码,数码,手机平板
47,96,星海-科技,科技,星海
48,98,机械-科技,科技,机械
49,114,综艺(隐藏)-娱乐,娱乐,综艺(隐藏)
50,116,未知(隐藏)-未知,未知,未知(隐藏)
51,118,未知(隐藏)-未知,未知,未知(隐藏)
52,120,连载动画(隐藏)-动画,动画,连载动画(隐藏)
53,121,GMV-游戏,游戏,GMV
54,122,野生技术协会-科技,科技,野生技术协会
55,124,趣味科普人文-科技,科技,趣味科普人文
56,125,人文历史(隐藏)-纪录片,纪录片,人文历史(隐藏)
57,126,人力VOCALOID-鬼畜,鬼畜,人力VOCALOID
58,127,教程演示-鬼畜,鬼畜,教程演示
59,128,电视剧相关(隐藏)-电视剧,电视剧,电视剧相关(隐藏)
60,130,音乐综合-音乐,音乐,音乐综合
61,131,Korea相关-娱乐,娱乐,Korea相关
62,134,Korea相关(隐藏)-娱乐,娱乐,Korea相关(隐藏)
63,135,未知(隐藏)-未知,未知,未知(隐藏)
64,136,音游-游戏,游戏,音游
65,137,明星-娱乐,娱乐,明星
66,138,搞笑-生活,生活,搞笑
67,139,网络游戏(隐藏)-游戏,游戏,网络游戏(隐藏)
68,141,游戏集锦(隐藏)-游戏,游戏,游戏集锦(隐藏)
69,142,未知(隐藏)-未知,未知,未知(隐藏)
70,145,欧美电影-电影,电影,欧美电影
71,146,日本电影-电影,电影,日本电影
72,147,华语电影-电影,电影,华语电影
