,aid,bvid,title,typeid,section,sub-section,date,time,length,play,comment,danmaku,favorite,coin,share,like,typename,his_rank
0,76394931,BV1cJ411274r,【香港真相大起底】暴力乱港实录,96.0,科技,星海,2019-11-20 12:48:34,1574254114,09:27,8992394,35208.0,209735,325359,490507,358359,560603,星海-科技,1
1,76410258,BV19J411174N,今天新闻联播，12条连发批美国国会参议院通过“香港人权与民主法案”,96.0,科技,星海,2019-11-20 13:53:30,1574258010,13:58,800292,5398.0,8098,8295,12270,8393,56974,星海-科技,0
2,76467274,BV13J41127xi,【中国有故事 第10集】一条铁路永流传,124.0,科技,趣味科普人文,2019-11-21 06:04:03,1574316243,03:59,69992,17.0,0,408,1662,226,10470,趣味科普人文-科技,0
3,76485537,BV1bJ41127Wb,警方公布英驻香港总领馆雇员嫖娼审讯视频：不存在刑讯逼供,96.0,科技,星海,2019-11-21 09:13:38,1574327618,02:11,778339,2406.0,1965,2230,4597,3355,33379,星海-科技,0
4,76524390,BV1zJ411271R,中国人唱给美国的魔性RAP,28.0,音乐,原创音乐,2019-11-21 14:48:08,1574347688,02:05,4792629,10023.0,11507,268705,469804,72069,554046,原创音乐-音乐,2
5,76558189,BV1XJ411R714,【日本語吹替版】6年前のアニメは今の香港事件を予言しました,27.0,动画,综合,2019-11-22 02:42:11,1574390531,06:15,772741,2434.0,2116,7972,5510,3540,43712,综合-动画,0
6,76450224,BV1jJ4112768,【杜甫 | 剑器行  三无Marblue、祖娅纳惜、玄觞、以冬、竹桑、云泣】一舞剑器动四方！大道逢侠project,28.0,音乐,原创音乐,2019-11-23 10:00:54,1574503254,03:56,645517,2140.0,3443,41193,43048,5207,61221,原创音乐-音乐,0
7,76775549,BV1wJ411o73s,香港警察：你们吃面包，我去吃海底捞！结果他们真去了……,96.0,科技,星海,2019-11-23 14:36:26,1574519786,00:50,7001286,10935.0,12966,64813,48614,61808,330447,星海-科技,10
8,76838810,BV1bJ411971u,香港警务处处长邓炳强：香港警队有信心完成止暴制乱任务,96.0,科技,星海,2019-11-24 05:09:19,1574572159,02:12,320052,764.0,399,911,2029,369,25383,星海-科技,0
9,76877449,BV1SJ411972j,【天府事变】选择【唱给香港】,28.0,音乐,原创音乐,2019-11-24 13:50:36,1574603436,02:16,1006369,1788.0,2503,40254,74477,6822,101238,原创音乐-音乐,0
10,76947515,BV1VJ411R78w,【团团有话说】“青春饭”，你还能吃多久？,21.0,生活,日常,2019-11-25 01:21:29,1574644889,03:57,125063,894.0,423,355,1638,320,10778,日常-生活,0
11,77107340,BV1HJ411X7Nx,3分钟读懂《反家庭暴力法》,124.0,科技,趣味科普人文,2019-11-26 09:52:21,1574761941,03:00,161388,1985.0,333,3366,2910,2824,25904,趣味科普人文-科技,0
12,77087288,BV1NJ411X74i,《华服抄》随风轻逸，莲步生情（绝美华服小姐姐MV付）,158.0,时尚,服饰,2019-11-26 10:35:22,1574764522,02:07,782431,2024.0,1722,36054,25130,6505,57922,服饰-时尚,39
13,77201944,BV1DJ411X7jW,【普通话X闽南话X客家话】国台办新任发言人朱凤莲亮相,21.0,生活,日常,2019-11-27 07:04:07,1574838247,00:41,361031,2290.0,965,1516,2231,1300,27387,日常-生活,0
14,77290655,BV1KJ41197Fb,耿爽三次发问：这样的美国，能和中国相提并论吗？,96.0,科技,星海,2019-11-28 03:34:09,1574912049,04:37,1515836,4459.0,5869,10796,12573,4906,78304,星海-科技,0
15,77298289,BV1MJ41197RZ,【《中国有故事》第11集】寻觅 “最早的中国”,124.0,科技,趣味科普人文,2019-11-28 05:18:52,1574918332,03:21,93700,664.0,141,636,1864,180,12315,趣味科普人文-科技,0
16,77303301,BV1JJ41197vm,一分钱也计较，医保代表“买菜式砍价谈判”替老百姓砍价,21.0,生活,日常,2019-11-28 05:56:59,1574920619,05:00,682085,4048.0,3924,7406,11881,5852,53576,日常-生活,0
17,77363037,BV1mJ411D7R9,耿爽谈反制美涉港法案：该来的早晚会来,96.0,科技,星海,2019-11-28 15:16:39,1574954199,00:46,465944,3082.0,284,1549,3109,1125,31289,星海-科技,0
18,77806424,BV1mJ411z7vo,【打击洋垃圾】大连海关退运3700余吨洋垃圾，中国不是洋垃圾的堆放场。,21.0,生活,日常,2019-12-02 09:19:12,1575278352,01:08,558550,1747.0,715,1817,3822,790,44349,日常-生活,0
19,77929401,BV1yJ411q7LY,【回放】展望2020的世界与中国【金灿荣、郑若麟、李绍先】,96.0,科技,星海,2019-12-03 13:30:55,1575379855,102:15,853787,2201.0,29232,22187,19478,3810,35785,星海-科技,57
20,77975146,BV1mJ411q7Yk,金灿荣：“印吹”“越吹”？,96.0,科技,星海,2019-12-03 16:03:47,1575389027,00:53,677517,5708.0,1633,4296,8084,2949,37213,星海-科技,0
21,78105054,BV1tJ411B7rD,【中国有故事】“糖丸”的味道,124.0,科技,趣味科普人文,2019-12-05 02:22:54,1575512574,03:59,168780,1727.0,1974,3106,9033,1011,27071,趣味科普人文-科技,0
22,78108022,BV18J411B7jc,华春莹：“9·11”事件殷鉴不远　美方不要好了伤疤忘了痛,96.0,科技,星海,2019-12-05 02:49:47,1575514187,01:00,1083802,2986.0,1424,5627,4841,2248,41721,星海-科技,0
23,78107150,BV18J411B7z2,中国强大是利用美国的钱做到的？华春莹：太可笑了！,96.0,科技,星海,2019-12-05 02:50:03,1575514203,00:56,132334,890.0,162,552,1138,244,11473,星海-科技,0
24,78108476,BV18J411B7xD,华春莹请外国媒体把中国人民强烈呼声传递给美国普通民众,96.0,科技,星海,2019-12-05 02:59:04,1575514744,00:55,1105820,4159.0,1902,5430,6179,1711,67658,星海-科技,0
25,78266046,BV11J411i7Qf,【中国新疆 反恐前沿】CGTN特别呈现,96.0,科技,星海,2019-12-06 11:12:31,1575630751,50:02,1419241,2410.0,0,60578,34067,45507,99143,星海-科技,0
26,78309491,BV1SJ411i7rS,【杜锋】他们的故事，跟你的一样,124.0,科技,趣味科普人文,2019-12-07 01:00:57,1575680457,02:47,97037,298.0,143,318,1478,246,12512,趣味科普人文-科技,0
27,78562932,BV14J411v7mt,向佐：愿凭每一个香港人的努力，还原这颗东方之珠的光芒,96.0,科技,星海,2019-12-08 14:02:28,1575813748,08:19,223865,758.0,595,1395,4373,648,26379,星海-科技,0
28,78676686,BV1jJ411y74u,"我很失望！华春莹问""你们有谁看过吗？""，外媒无一举手",96.0,科技,星海,2019-12-09 14:04:30,1575900270,04:54,3588769,5377.0,26,28261,33224,7920,200252,星海-科技,8
29,78778449,BV1mJ411y71Q,外交部：美国不仅是当今世界的超级大国，还是超级谎言制造者和散播者,96.0,科技,星海,2019-12-10 12:18:48,1575980328,02:34,549701,2058.0,943,2467,3976,1245,40094,星海-科技,0
30,78883934,BV1EJ411177J,澳门城市大学《七子之歌--澳门》MV发布,31.0,音乐,翻唱,2019-12-11 11:16:49,1576063009,02:06,383870,1973.0,1619,9999,13131,2723,45451,翻唱-音乐,0
31,78936132,BV1CJ411k7DN,【中国有故事第13集】“拉勾”的希望……,124.0,科技,趣味科普人文,2019-12-12 00:30:45,1576110645,04:00,63193,154.0,81,399,1589,294,11380,趣味科普人文-科技,0
32,78935440,BV1yJ411k73k,【启明|裂天、汐音社】年代有不屈天光，一笔一划写作华夏,28.0,音乐,原创音乐,2019-12-12 09:00:48,1576141248,03:49,183894,30.0,0,9208,12103,1123,24345,原创音乐-音乐,0
33,78985363,BV1uJ411C7gF,82年了……,37.0,纪录片,人文历史,2019-12-12 16:00:04,1576166404,03:47,473203,4799.0,5011,10414,44806,11009,0,人文历史-纪录片,0
34,78993619,BV1cJ411C7Dg,【藏】南京大屠杀死难者国家公祭日【风鸣社】,47.0,动画,短片·手书·配音,2019-12-13 00:00:10,1576195210,08:50,1268044,7488.0,24442,76154,134633,16849,196977,短片·手书·配音-动画,3
35,79364230,BV1xJ411k7uo,【预告 | 关注青少年权益保护】儿童模特、涉童家暴、性侵未成年人……,37.0,纪录片,人文历史,2019-12-15 08:17:43,1576397863,00:31,61207,376.0,21,228,1086,263,12381,人文历史-纪录片,0
36,79410156,BV1zJ411k72H,美女科学家在团中央做化学实验！,124.0,科技,趣味科普人文,2019-12-15 13:46:36,1576417596,00:10,248041,780.0,67,309,1332,384,16086,趣味科普人文-科技,0
37,79484201,BV1gJ41167rQ,【团团直播间】青春助力中国 科技改变世界,39.0,科技,演讲· 公开课,2019-12-16 07:40:36,1576482036,94:23,30012,80.0,116,158,792,169,7769,演讲· 公开课-科技,0
38,79495965,BV1sJ41167as,2019王毅外长九大名场面,96.0,科技,星海,2019-12-16 08:36:35,1576485395,02:01,1400793,1782.0,2803,23633,16915,4242,102460,星海-科技,55
39,79576230,BV1mJ411678y,【回放|团团直播间】青春奋进新时代 创新创业报国家,39.0,科技,演讲· 公开课,2019-12-17 02:37:06,1576550226,85:17,30532,64.0,36,132,810,215,7268,演讲· 公开课-科技,0
40,79604551,BV1oJ41167eh,【成长启示录① 童模】“日入过万”的诱惑和隐忧,37.0,纪录片,人文历史,2019-12-17 08:22:24,1576570944,36:01,176091,2815.0,2937,1726,2123,924,16627,人文历史-纪录片,0
41,79694367,BV1fJ41147wG,双倍快乐！耿爽、吴谦同框,96.0,科技,星海,2019-12-18 02:38:04,1576636684,01:04,882552,1204.0,1611,6196,5100,925,61435,星海-科技,77
42,79715114,BV1RJ41147ta,【青课2019】探寻中华文明源头,39.0,科技,演讲· 公开课,2019-12-18 07:03:04,1576652584,64:05,90145,941.0,996,2965,2501,567,14129,演讲· 公开课-科技,0
43,79825061,BV1BJ411t7Sw,【中国有故事 第14集】国宝又“活”了,124.0,科技,趣味科普人文,2019-12-19 06:12:36,1576735956,04:00,70238,228.0,127,558,1516,237,12398,趣味科普人文-科技,0
44,79829637,BV16J411t7gd,【溯梦·归乡】澳门回归20周年纪【Braska、昼夜、流浪的蛙蛙、裂天】,28.0,音乐,原创音乐,2019-12-19 12:20:40,1576758040,04:25,101637,601.0,375,5005,7075,1252,19366,原创音乐-音乐,0
45,79878959,BV11J411t7gs,【澳门回归20周年】你可知Macau不是我真姓……,96.0,科技,星海,2019-12-19 14:24:22,1576765462,12:52,204658,0.0,0,3748,7610,1333,28430,星海-科技,0
46,79892426,BV1fJ411t736,习近平与大家合唱《歌唱祖国》,96.0,科技,星海,2019-12-19 15:57:24,1576771044,01:21,1021573,63.0,0,11109,21499,4066,108137,星海-科技,39
47,79881097,BV12J411t7oY,《守护》 庆祝澳门回归20周年,28.0,音乐,原创音乐,2019-12-20 01:00:50,1576803650,04:25,86681,347.0,282,1222,2631,604,16500,原创音乐-音乐,0
48,79882303,BV12J411t7uh,【Rap】我的名字叫澳门（Ao Men）,28.0,音乐,原创音乐,2019-12-20 02:00:08,1576807208,02:36,491467,1240.0,1497,18015,24604,2485,57080,原创音乐-音乐,0
49,79922533,BV1uJ411b74K,习近平：中国内政用不着任何外部势力指手画脚,96.0,科技,星海,2019-12-20 03:31:37,1576812697,01:03,1647675,1541.0,1,11622,29351,4238,159454,星海-科技,0
50,80023520,BV1ZJ411x7EU,2019年国防部霸气回应合集,96.0,科技,星海,2019-12-20 18:42:02,1576867322,01:44,436832,862.0,700,7178,5707,1678,35458,星海-科技,0
51,80218478,BV17J411s7KN,今日冬至，吃饺子还是吃汤圆？,124.0,科技,趣味科普人文,2019-12-22 07:26:26,1576999586,05:30,103183,2784.0,960,457,1946,675,15769,趣味科普人文-科技,0
52,80454407,BV1hJ411x7b9,【成长启示录②】事实孤儿的伤与痛,37.0,纪录片,人文历史,2019-12-24 06:55:01,1577170501,36:01,68079,830.0,871,818,1972,546,12314,人文历史-纪录片,0
53,80563870,BV13J411W7hB,【中国女排】演员表-自己演自己,184.0,影视,预告 资讯,2019-12-25 01:22:40,1577236960,02:03,567110,1750.0,1250,5319,4941,3744,43109,预告 资讯-影视,88
54,80608035,BV1xJ411W7nq,【国之重器 - 2019中国制造日主题曲】此生有幸入华夏，来世还愿种花家【囚牛】,28.0,音乐,原创音乐,2019-12-25 16:00:04,1577289604,03:34,467459,1710.0,3064,27211,37053,4039,54955,原创音乐-音乐,41
55,80842696,BV1DJ411Y76k,【中国有故事 第15集】猜爸爸,124.0,科技,趣味科普人文,2019-12-27 06:47:58,1577429278,04:00,62515,134.0,76,237,1140,233,10241,趣味科普人文-科技,0
56,80864313,BV1UJ411Y7rK,【美国“贼喊捉贼”】2019年12月国防部例行记者会,96.0,科技,星海,2019-12-27 09:51:14,1577440274,44:38,278872,1147.0,2672,2444,3577,716,24016,星海-科技,0
57,80860654,BV1mJ411Y7bR,【回放】2019第四届中国制造日,96.0,科技,星海,2019-12-27 13:10:21,1577452221,335:54,176583,738.0,4221,2916,2846,1000,13033,星海-科技,0
58,80904696,BV13J411e7dA,长征五号零问题归来！全网最好懂视频带你看它有多牛,124.0,科技,趣味科普人文,2019-12-27 15:32:29,1577460749,06:29,168200,961.0,967,1472,3961,1053,19413,趣味科普人文-科技,0
59,81181085,BV1RJ411a7Ab,现实版战狼！老兵战乱中护送244名同胞回国,96.0,科技,星海,2019-12-29 12:22:14,1577622134,01:29,225022,1055.0,276,2134,2781,821,27941,星海-科技,0
60,81199913,BV1cJ411Y7or,【阅兵BGM】庆祝中华人民共和国成立70周年典礼阅兵曲音乐会,29.0,音乐,音乐现场,2019-12-29 14:59:34,1577631574,90:22,256833,2051.0,5210,13047,6431,2335,26601,音乐现场-音乐,0
61,81248937,BV1KJ411Y7kY,【洛天依】化学生僻字,30.0,音乐,VOCALOID·UTAU,2019-12-30 03:47:43,1577677663,03:40,804316,2943.0,7789,36429,32451,12956,69990,VOCALOID·UTAU-音乐,22
62,81394908,BV1MJ411h7p3,【回望2019】当我想起英雄,96.0,科技,星海,2019-12-31 10:00:27,1577786427,03:22,77112,9.0,0,2933,4858,1099,15591,星海-科技,0
63,81466586,BV1rJ411h7Ba,国家主席习近平发表二〇二〇年新年贺词,96.0,科技,星海,2019-12-31 12:39:36,1577795976,14:52,740462,64.0,0,22229,40977,12938,134263,星海-科技,29
64,81414764,BV15J411h7ZU,【小连杀】摇头的2019年 | 野狼2019Disco,31.0,音乐,翻唱,2019-12-31 16:00:54,1577808054,03:39,242013,914.0,5970,9713,27692,4794,35255,翻唱-音乐,0
65,81564926,BV1hJ411b7ci,【今日最燃】2020元旦升国旗仪式,96.0,科技,星海,2020-01-01 01:18:50,1577841530,10:35,600380,2953.0,27924,12690,24161,5194,81576,星海-科技,22
66,81423028,BV17J411h7pU,【风华引丨小缘/三无/祖娅纳惜/白止】2020新年献曲『人声本家』,28.0,音乐,原创音乐,2020-01-01 02:00:57,1577844057,04:09,361331,1322.0,3015,18806,24376,2492,40718,原创音乐-音乐,91
67,81421041,BV17J411h7Zd,【风华引丨洛天依/乐正绫/言和/乐正龙牙】2020新年献曲,30.0,音乐,VOCALOID·UTAU,2020-01-01 02:00:57,1577844057,04:09,226904,1178.0,1875,18919,19302,1934,32414,VOCALOID·UTAU-音乐,0
