,title,description,date,aid,bvid,time,length,play,typeid,comment,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like,dislike,no_reprint,copyright,typename,section,sub-section
0,【香港真相大起底】暴力乱港实录,"【香港真相大起底】暴力乱港实录
来源：https://youtu.be/5--ZkniKXfU
https://weibo.com/7327928667/IgXRmiZMl",2019-11-20 12:48:34,76394931,BV1cJ411274r,1574254114,09:27,8992394,96.0,35208.0,8992581,209735,35208,325359,490507,358359,0,1,560603,0,1,1,星海-科技,科技,星海
1,今天新闻联播，12条连发批美国国会参议院通过“香港人权与民主法案”,"CCTV
全国人大外事委员会就美国国会参议院通过“2019年香港人权与民主法案”发表声明
外交部发言人就美国国会参议院通过“香港人权与民主法案”发表谈话
国务院港澳办强烈抗议和谴责美国国会参议院通过“香港人权与民主法案”
香港中联办就美国参议院通过“2019年香港人权与民主法案”发表声明
全国政协外事委员会就美国国会参议院通过“香港人权与民主法案”发表声明
外交部驻港公署负责人强烈谴责美参议院通过涉港议案
香港特区政府：对美参院做法极度遗憾
专家：美国双重标准 粗暴干涉中国内政
后面还有四条字数",2019-11-20 13:53:30,76410258,BV19J411174N,1574258010,13:58,800292,96.0,5398.0,800292,8098,5398,8295,12270,8393,0,0,56974,0,0,2,星海-科技,科技,星海
2,【中国有故事 第10集】一条铁路永流传,"什么是兄弟？
并肩战斗，患难与共。
我有难处时，你即使自己也身处困境，仍毫不迟疑地伸出援手。
有一条遥远的铁路，见证了这样一段兄弟情。
1976年，一条跨越“地球伤疤”东非大裂谷的铁路，建成通车。为了它，建设者们走“大象走的路”，在2米多高的草里穿梭；有的人牺牲时，连妻子刚寄来的布鞋都没来得及试穿……
无论挑战自然要付出什么代价，无论远离祖国有多少纸短情长，他们都义无反顾。因为，中国与非洲是好兄弟。
倒转时光的车轮，让我们回到近半个世纪之前，进入“阿中哥哥”当年的非洲故事……",2019-11-21 06:04:03,76467274,BV13J41127xi,1574316243,03:59,69992,124.0,17.0,69992,0,17,408,1662,226,0,0,10470,0,1,1,趣味科普人文-科技,科技,趣味科普人文
3,警方公布英驻香港总领馆雇员嫖娼审讯视频：不存在刑讯逼供,"来源：https://youtu.be/K5gIlWAheG4
https://weibo.com/2803301701/Ihfn6Bang
【警方公布英驻香港总领馆雇员嫖娼审讯视频：不存在刑讯逼供】就英方声称因嫖娼被深圳警方拘留的英国驻香港总领馆雇员郑文杰“遭酷刑”等不公正对待问题，深圳警方表示，郑文杰因违反《中华人民共和国治安管理处罚法》第六十六条规定，被警方处行政拘留15日，其对嫖娼的违法事实供认不讳。其半月内3次嫖娼，因觉丢脸选择不通知家人。",2019-11-21 09:13:38,76485537,BV1bJ41127Wb,1574327618,02:11,778339,96.0,2406.0,778339,1965,2406,2230,4597,3355,0,0,33379,0,1,1,星海-科技,科技,星海
4,中国人唱给美国的魔性RAP,"中国人唱给美国的魔性RAP
YouTube：https://youtu.be/jfblr3cM6h0",2019-11-21 14:48:08,76524390,BV1zJ411271R,1574347688,02:05,4792629,28.0,10023.0,4792689,11507,10023,268705,469804,72069,0,2,554046,0,1,1,原创音乐-音乐,音乐,原创音乐
5,【日本語吹替版】6年前のアニメは今の香港事件を予言しました,"sm35983053
前两天团团发了一个《这部动画曾因不切实际被人嘲讽，但6年后现实却打了所有人的脸！》的视频av75993929，得到了不错的反响。最近又小朋友发现在niconico上有网友对这个视频进行了日语翻译，咱们来看看有没有内味。sm35983053
youtube：https://youtu.be/eQpuLi85Uak",2019-11-22 02:42:11,76558189,BV1XJ411R714,1574390531,06:15,772741,27.0,2434.0,772744,2116,2434,7972,5510,3540,0,0,43712,0,0,2,综合-动画,动画,综合
6,【杜甫 | 剑器行  三无Marblue、祖娅纳惜、玄觞、以冬、竹桑、云泣】一舞剑器动四方！大道逢侠project,"作词：杜甫（唐）
作曲：西门振
编曲：西门振
演唱：三无Marblue，祖娅纳惜，玄觞，云の泣，以冬，竹桑
混音：小吴太太
尺八/笛子/箫：丁晓逵 
二胡：金玥
画师：小海浪、冷冻汤圆、慕白
美术：舒念慈
PV：小航
企划：汐音社

【合唱】
昔有佳人公孙氏，一舞剑器动四方。 
观者如山色沮丧，天地为之久低昂。 

【三无】
昔有佳人公孙氏，一舞剑器动四方。 
观者如山色沮丧，天地为之久低昂。 
霍如羿射九日落，矫如群帝骖龙翔。 
来如雷霆收震怒，罢如江海凝清光。

【祖娅纳惜】
绛唇珠袖两寂寞，晚有弟子",2019-11-23 10:00:54,76450224,BV1jJ4112768,1574503254,03:56,645517,28.0,2140.0,645521,3443,2140,41193,43048,5207,0,0,61221,0,1,1,原创音乐-音乐,音乐,原创音乐
7,香港警察：你们吃面包，我去吃海底捞！结果他们真去了……,"https://youtu.be/7TKePSVqios
香港警察：你们吃面包，我去深圳吃海底捞！结果他们真去了……还发了微博，带图的……",2019-11-23 14:36:26,76775549,BV1wJ411o73s,1574519786,00:50,7001286,96.0,10935.0,7001312,12966,10935,64813,48614,61808,0,10,330447,0,0,2,星海-科技,科技,星海
8,香港警务处处长邓炳强：香港警队有信心完成止暴制乱任务,"CNTV
专访香港特区政府警务处处长邓炳强：香港警队有信心完成止暴制乱任务",2019-11-24 05:09:19,76838810,BV1bJ411971u,1574572159,02:12,320052,96.0,764.0,320056,399,764,911,2029,369,0,0,25383,0,0,2,星海-科技,科技,星海
9,【天府事变】选择【唱给香港】,【未来尚可《选择》！唱给香港的说唱MV来了】这不是香港原有的样子，也不是香港未来的样子。“这是一段艰难的时间，你经受着考验。但是我也相信，你已经做出了最好的选择。”转发，行动起来不让香港再受伤！,2019-11-24 13:50:36,76877449,BV1SJ411972j,1574603436,02:16,1006369,28.0,1788.0,1006369,2503,1788,40254,74477,6822,0,0,101238,0,1,1,原创音乐-音乐,音乐,原创音乐
10,【团团有话说】“青春饭”，你还能吃多久？,"近日，《90后的青春饭，已经吃完了？》火爆网络，文中提出了“新媒体人的28岁，相当于普通职人的50岁”，谈到了在新兴行业工作的“年龄大”人员的窘境。文末留言，还有许多其他行业从业人员谈起了自己的“青春饭”。
青春饭，《辞海》中解释：曾意味着是吃“脸蛋儿”的职业。而新“青春饭”大多集中在新经济领域，更多是凭借自己的知识和才干。你认同吗？ 到底什么是“青春饭”？“青春饭”的保质期到底有多久？这碗饭到底该怎么吃？本期《团团有话说》征集了众多粉丝的评论，和大家谈谈这个陌生而又熟悉的“青春饭”。",2019-11-25 01:21:29,76947515,BV1VJ411R78w,1574644889,03:57,125063,21.0,894.0,125063,423,894,355,1638,320,0,0,10778,0,1,1,日常-生活,生活,日常
11,3分钟读懂《反家庭暴力法》,"全国妇联
3分钟读懂《反家庭暴力法》",2019-11-26 09:52:21,77107340,BV1HJ411X7Nx,1574761941,03:00,161388,124.0,1985.0,161388,333,1985,3366,2910,2824,0,0,25904,0,0,2,趣味科普人文-科技,科技,趣味科普人文
12,《华服抄》随风轻逸，莲步生情（绝美华服小姐姐MV付）,"原曲：锦鲤抄
华服小姐姐：东瓜嘀嘀
摄影：流云蕊
音乐出品：予你诗话工作室
字幕：-九老板-",2019-11-26 10:35:22,77087288,BV1NJ411X74i,1574764522,02:07,782431,158.0,2024.0,782432,1722,2024,36054,25130,6505,0,39,57922,0,1,1,服饰-时尚,时尚,服饰
13,【普通话X闽南话X客家话】国台办新任发言人朱凤莲亮相,"央视新闻
【普通话X闽南话X客家话】国台办新任发言人朱凤莲亮相",2019-11-27 07:04:07,77201944,BV1DJ411X7jW,1574838247,00:41,361031,21.0,2290.0,361032,965,2290,1516,2231,1300,0,0,27387,0,0,2,日常-生活,生活,日常
14,耿爽三次发问：这样的美国，能和中国相提并论吗？,"央视新闻
耿爽三次发问：这样的美国，能和中国相提并论吗？",2019-11-28 03:34:09,77290655,BV1KJ41197Fb,1574912049,04:37,1515836,96.0,4459.0,1515854,5869,4459,10796,12573,4906,0,0,78304,0,0,2,星海-科技,科技,星海
15,【《中国有故事》第11集】寻觅 “最早的中国”,中国发端于何时？中华民族的起源在哪里？为了弄清这些问题，考古队员们开启了一段“下了火车骑毛驴，一日三餐窝窝头”的日子。随着无数散落的陶片被拼接还原，“二里头”掩藏着的重大秘密逐渐显现出来：这里曾有中国最早的“紫禁城”。我们翻开这本3500年前留下的无字“地书”，去寻觅“最早的中国”……,2019-11-28 05:18:52,77298289,BV1MJ41197RZ,1574918332,03:21,93700,124.0,664.0,93700,141,664,636,1864,180,0,0,12315,0,1,1,趣味科普人文-科技,科技,趣味科普人文
16,一分钱也计较，医保代表“买菜式砍价谈判”替老百姓砍价,"央视新闻
【一分钱也计较，医保代表“买菜式砍价谈判”替老百姓砍价】央视独家记录医保药品目录谈判过程",2019-11-28 05:56:59,77303301,BV1JJ41197vm,1574920619,05:00,682085,21.0,4048.0,682085,3924,4048,7406,11881,5852,0,0,53576,0,0,2,日常-生活,生活,日常
17,耿爽谈反制美涉港法案：该来的早晚会来,"外交部
【耿爽谈反制美涉港法案：该来的早晚会来】美国总统特朗普签署“香港人权与民主法案”，中方表示将对美方进行坚决反制。对于记者关于反制措施是否立即出台的提问，耿爽表示：对于美方干涉中国内政、损害中方利益的行径，中方必将采取有力措施坚决反制。任何人都不要低估中方维护国家主权、安全、发展利益的坚定决心，也不要低估中方贯彻“一国两制”方针、维护香港繁荣稳定的坚定决心。至于反制措施有哪些、何时出台，请保持关注，该来的早晚会来。",2019-11-28 15:16:39,77363037,BV1mJ411D7R9,1574954199,00:46,465944,96.0,3082.0,465944,284,3082,1549,3109,1125,0,0,31289,0,0,2,星海-科技,科技,星海
18,【打击洋垃圾】大连海关退运3700余吨洋垃圾，中国不是洋垃圾的堆放场。,"海关发布
【走私洋垃圾入境，你的良心不会痛吗？】来源不明的旧衣服，沾满细菌，成为结核、霍乱等疾病的传染源；电子垃圾包含1000多种不同有毒有害物质成分……处理“洋垃圾”，使我们的河水被污染，土壤重金属超标，天空变得灰霾。大连海关退运3700余吨洋垃圾 ，中国不是洋垃圾的堆放场。打击洋垃圾，捍卫我们的“绿水青山”。",2019-12-02 09:19:12,77806424,BV1mJ411z7vo,1575278352,01:08,558550,21.0,1747.0,558551,715,1747,1817,3822,790,0,0,44349,0,0,2,日常-生活,生活,日常
19,【回放】展望2020的世界与中国【金灿荣、郑若麟、李绍先】,【回放】展望2020的世界与中国,2019-12-03 13:30:55,77929401,BV1yJ411q7LY,1575379855,102:15,853787,96.0,2201.0,853793,29232,2201,22187,19478,3810,0,57,35785,0,1,1,星海-科技,科技,星海
20,金灿荣：“印吹”“越吹”？,"金灿荣：“印吹”“越吹”？
完整版av77929401",2019-12-03 16:03:47,77975146,BV1mJ411q7Yk,1575389027,00:53,677517,96.0,5708.0,677520,1633,5708,4296,8084,2949,0,0,37213,0,1,1,星海-科技,科技,星海
21,【中国有故事】“糖丸”的味道,"【中国有故事 “糖丸”的味道】半个多世纪前，为了对抗大面积侵袭全国的流行病，在云南花红洞的一片荒山中，几位病毒学家默默炼起了“仙丹”。
饲养员饿得去偷实验猿猴的饲料做口粮；还有的研究人员不惜用自己年幼的孩子来做药物实验。
在这样艰苦卓绝的条件下，他们却成就了一项“甜蜜的事业”。",2019-12-05 02:22:54,78105054,BV1tJ411B7rD,1575512574,03:59,168780,124.0,1727.0,168781,1974,1727,3106,9033,1011,0,0,27071,0,1,1,趣味科普人文-科技,科技,趣味科普人文
22,华春莹：“9·11”事件殷鉴不远　美方不要好了伤疤忘了痛,"外交部
华春莹：“9·11”事件殷鉴不远，美方不要好了伤疤忘了痛。长期驱逐、屠戮和迫害印第安人，他们的良知在哪里？",2019-12-05 02:49:47,78108022,BV18J411B7jc,1575514187,01:00,1083802,96.0,2986.0,1083806,1424,2986,5627,4841,2248,0,0,41721,0,0,2,星海-科技,科技,星海
23,中国强大是利用美国的钱做到的？华春莹：太可笑了！,"【中国强大是利用美国的钱做到的？华春莹：太可笑了！】“外交部发言人办公室”消息，在12月4日外交部例行记者会上，有记者问：据报道，有美国领导人近日称，中国已非常强大，这很大程度上是利用美国的钱做到的。中方对此有何评论？
　　华春莹：这个说法太可笑了！环顾全球，这个世界上有哪个国家有能力用钱来重建一个中国？太可笑了！中国发展的成就可不是从天上掉下来的，也不是靠什么人、什么国家恩赐施舍的，而是全体中国人民用自己的勤劳、汗水、智慧和勇气干出来的。",2019-12-05 02:50:03,78107150,BV18J411B7z2,1575514203,00:56,132334,96.0,890.0,132334,162,890,552,1138,244,0,0,11473,0,0,2,星海-科技,科技,星海
