,Restaurant,Category,Items,Calories,Protein (g),Carbs (g),Sodium (mg),Sugars (g)
0,popeyes,chicken,Wing,210,13,8,610.0,0.0
1,popeyes,chicken,Leg,160,14,5,460.0,0.0
2,popeyes,chicken,Thigh,280,14,7,640.0,0.0
3,popeyes,chicken,Breast,440,35,16,1330.0,0.0
4,popeyes,chicken,Wing,210,13,8,410.0,1.0
5,popeyes,chicken,Leg,170,13,5,360.0,1.0
6,popeyes,chicken,Thigh,260,14,8,460.0,1.0
7,popeyes,chicken,Breast,420,33,13,830.0,3.0
8,popeyes,chicken,Nugget (4),150,7,10,230.0,0.0
9,popeyes,chicken,Nuggets (6),230,11,14,350.0,0.0
10,popeyes,chicken,Mild Tenders (3),340,27,26,1350.0,0.0
11,popeyes,chicken,Spicy Tenders (3),310,28,16,1240.0,0.0
12,popeyes,chicken,Blackened Tenders (3),170,26,2,550.0,0.0
13,popeyes,sandwiches & wraps,Loaded Chicken Wrap,310,14,33,890.0,0.0
14,popeyes,sandwiches & wraps,Chicken Po’ Boy,660,31,61,2120.0,3.0
15,popeyes,sandwiches & wraps,Shrimp Po’ Boy,690,42,66,2165.0,3.0
16,popeyes,sandwiches & wraps,Blackened BBQ Chicken Po’ Boy,340,24,49,1030.0,11.0
17,popeyes,sandwiches & wraps,Chicken & Sausage Jambalaya,220,10,20,760.0,0.0
18,popeyes,sandwiches & wraps,Chicken Livers,1190,54,65,2070.0,3.0
19,popeyes,seafood,Popcorn Shrimp,330,11,28,1290.0,0.0
20,popeyes,seafood,Butterfly Shrimp (8),290,12,21,820.0,0.0
21,popeyes,seafood,Catfish Fillet,460,21,27,1140.0,0.0
22,popeyes,seafood,Cajun Fish,130,5,12,550.0,1.0
23,popeyes,sides,Biscuit,260,4,26,450.0,1.0
24,popeyes,sides,Baguette,90,3,18,80.0,1.0
25,popeyes,sides,Cheddar Cheese Tortilla,140,3,21,210.0,0.0
26,popeyes,sides,Regular,260,3,30,570.0,0.0
27,popeyes,sides,Large,770,10,89,1700.0,1.0
28,popeyes,sides,Corn on the Cob,190,6,37,0.0,0.0
29,popeyes,sides,Regular,200,8,26,490.0,3.0
30,popeyes,sides,Large,600,24,78,1470.0,0.0
31,popeyes,sides,Regular,110,3,18,590.0,1.0
32,popeyes,sides,Large,330,9,54,1770.0,3.0
33,popeyes,sides,Regular,230,7,23,580.0,0.0
34,popeyes,sides,Large,690,21,69,1740.0,0.0
35,popeyes,sides,Regular,170,7,25,530.0,4.0
36,popeyes,sides,Large,510,21,75,1590.0,11.0
37,popeyes,sides,Regular,40,2,6,420.0,1.0
38,popeyes,sides,Large,120,6,18,1260.0,3.0
39,popeyes,sides,Regular,220,1,19,300.0,15.0
40,popeyes,sides,Large,660,4,58,900.0,45.0
41,popeyes,sides,6,280,3,25,460.0,2.0
42,popeyes,sides,12,560,6,50,920.0,4.0
43,popeyes,sides,18,830,9,74,1370.0,6.0
44,popeyes,sides,Regular (1),0,0,1,368.0,0.0
45,popeyes,sides,Large (6),0,0,6,2208.0,0.0
46,popeyes,breakfast,Chicken Biscuit,490,17,47,1270.0,2.0
47,popeyes,breakfast,Sausage Biscuit,540,13,41,1100.0,2.0
48,popeyes,breakfast,Egg Biscuit,510,13,41,1155.0,2.0
49,popeyes,breakfast,Egg & Sausage Biscuit,690,20,43,1520.0,2.0
50,popeyes,breakfast,Bacon Biscuit,400,8,37,780.0,2.0
51,popeyes,breakfast,Sausage & Gravy Biscuit,510,10,42,1090.0,3.0
52,popeyes,breakfast,Grits,370,5,80,30.0,0.0
53,popeyes,breakfast,Hash Rounds,360,3,41,450.0,0.0
54,popeyes,breakfast,Coffee,0,0,0,0.0,0.0
55,popeyes,breakfast,Orange Juice,140,2,33,20.0,30.0
56,popeyes,desserts,Hot Cinnamon Apple Pie,320,3,40,340.0,12.0
57,popeyes,desserts,Mississippi Mud Pie,280,3,51,210.0,27.0
