,Restaurant,Category,Types,Items,Calories,Protein (g),Carbs (g),Sodium (mg),Sugars (g)
0,Popeyes,entrees,chicken,Wing,210,13,8,610.0,0.0
1,Popeyes,entrees,chicken,Leg,160,14,5,460.0,0.0
2,Popeyes,entrees,chicken,Thigh,280,14,7,640.0,0.0
3,Popeyes,entrees,chicken,Breast,440,35,16,1330.0,0.0
4,Popeyes,entrees,chicken,Wing,210,13,8,410.0,1.0
5,Popeyes,entrees,chicken,Leg,170,13,5,360.0,1.0
6,Popeyes,entrees,chicken,Thigh,260,14,8,460.0,1.0
7,Popeyes,entrees,chicken,Breast,420,33,13,830.0,3.0
8,Popeyes,entrees,chicken,Nugget (4),150,7,10,230.0,0.0
9,Popeyes,entrees,chicken,Nuggets (6),230,11,14,350.0,0.0
10,Popeyes,entrees,chicken,Mild Tenders (3),340,27,26,1350.0,0.0
11,Popeyes,entrees,chicken,Spicy Tenders (3),310,28,16,1240.0,0.0
12,Popeyes,entrees,chicken,Blackened Tenders (3),170,26,2,550.0,0.0
13,Popeyes,entrees,sandwiches & wraps,Loaded Chicken Wrap,310,14,33,890.0,0.0
14,Popeyes,entrees,sandwiches & wraps,Chicken Po’ Boy,660,31,61,2120.0,3.0
15,Popeyes,entrees,sandwiches & wraps,Shrimp Po’ Boy,690,42,66,2165.0,3.0
16,Popeyes,entrees,sandwiches & wraps,Blackened BBQ Chicken Po’ Boy,340,24,49,1030.0,11.0
17,Popeyes,entrees,sandwiches & wraps,Chicken & Sausage Jambalaya,220,10,20,760.0,0.0
18,Popeyes,entrees,sandwiches & wraps,Chicken Livers,1190,54,65,2070.0,3.0
19,Popeyes,entrees,seafood,Popcorn Shrimp,330,11,28,1290.0,0.0
20,Popeyes,entrees,seafood,Butterfly Shrimp (8),290,12,21,820.0,0.0
21,Popeyes,entrees,seafood,Catfish Fillet,460,21,27,1140.0,0.0
22,Popeyes,entrees,seafood,Cajun Fish,130,5,12,550.0,1.0
23,Popeyes,sides,sides,Biscuit,260,4,26,450.0,1.0
24,Popeyes,sides,sides,Baguette,90,3,18,80.0,1.0
25,Popeyes,sides,sides,Cheddar Cheese Tortilla,140,3,21,210.0,0.0
26,Popeyes,sides,sides,Regular,260,3,30,570.0,0.0
27,Popeyes,sides,sides,Large,770,10,89,1700.0,1.0
28,Popeyes,sides,sides,Corn on the Cob,190,6,37,0.0,0.0
29,Popeyes,sides,sides,Regular,200,8,26,490.0,3.0
30,Popeyes,sides,sides,Large,600,24,78,1470.0,0.0
31,Popeyes,sides,sides,Regular,110,3,18,590.0,1.0
32,Popeyes,sides,sides,Large,330,9,54,1770.0,3.0
33,Popeyes,sides,sides,Regular,230,7,23,580.0,0.0
34,Popeyes,sides,sides,Large,690,21,69,1740.0,0.0
35,Popeyes,sides,sides,Regular,170,7,25,530.0,4.0
36,Popeyes,sides,sides,Large,510,21,75,1590.0,11.0
37,Popeyes,sides,sides,Regular,40,2,6,420.0,1.0
38,Popeyes,sides,sides,Large,120,6,18,1260.0,3.0
39,Popeyes,sides,sides,Regular,220,1,19,300.0,15.0
40,Popeyes,sides,sides,Large,660,4,58,900.0,45.0
41,Popeyes,sides,sides,6,280,3,25,460.0,2.0
42,Popeyes,sides,sides,12,560,6,50,920.0,4.0
43,Popeyes,sides,sides,18,830,9,74,1370.0,6.0
44,Popeyes,sides,sides,Regular (1),0,0,1,368.0,0.0
45,Popeyes,sides,sides,Large (6),0,0,6,2208.0,0.0
46,Popeyes,entrees,breakfast,Chicken Biscuit,490,17,47,1270.0,2.0
47,Popeyes,entrees,breakfast,Sausage Biscuit,540,13,41,1100.0,2.0
48,Popeyes,entrees,breakfast,Egg Biscuit,510,13,41,1155.0,2.0
49,Popeyes,entrees,breakfast,Egg & Sausage Biscuit,690,20,43,1520.0,2.0
50,Popeyes,entrees,breakfast,Bacon Biscuit,400,8,37,780.0,2.0
51,Popeyes,entrees,breakfast,Sausage & Gravy Biscuit,510,10,42,1090.0,3.0
52,Popeyes,entrees,breakfast,Grits,370,5,80,30.0,0.0
53,Popeyes,entrees,breakfast,Hash Rounds,360,3,41,450.0,0.0
54,Popeyes,entrees,breakfast,Coffee,0,0,0,0.0,0.0
55,Popeyes,entrees,breakfast,Orange Juice,140,2,33,20.0,30.0
56,Popeyes,dessert,desserts,Hot Cinnamon Apple Pie,320,3,40,340.0,12.0
57,Popeyes,dessert,desserts,Mississippi Mud Pie,280,3,51,210.0,27.0
58,Popeyes,dessert,desserts,Mardi Gras Cheesecake,310,4,32,290.0,22.0
59,Popeyes,dessert,desserts,Sliced Pecan Pie,410,4,52,220.0,22.0
60,Popeyes,dessert,desserts,Hot Sweet Potato Pie,350,4,41,370.0,10.0
61,Popeyes,beverages,beverages,Coke (22oz),230,0,59,22.0,59.0
62,Popeyes,beverages,beverages,Diet Coke (22oz),0,0,0,38.0,0.0
63,Popeyes,beverages,beverages,Sprite (22oz),210,0,56,77.0,56.0
64,Popeyes,beverages,beverages,fanta Strawberry (22oz),300,0,80,75.0,80.0
65,Popeyes,beverages,beverages,Fanta Orange (22oz),300,0,80,25.0,80.0
66,Popeyes,beverages,beverages,Hawaiian Punch (22oz),175,0,43,265.0,43.0
67,Popeyes,beverages,beverages,Mountain Dew (22oz),290,0,77,120.0,77.0
68,Popeyes,beverages,beverages,Pepsi (22oz),200,0,70,50.0,70.0
69,Popeyes,beverages,beverages,Diet Pepsi (22oz),0,0,0,50.0,0.0
70,Popeyes,beverages,beverages,Dr Pepper (22oz),250,0,68,87.0,68.0
71,Popeyes,beverages,beverages,Unsweetened Tea (22oz),0,0,0,10.0,0.0
72,Popeyes,beverages,beverages,Sweet Tea (22oz),180,0,45,10.0,45.0
73,Mcdonalds,entrees,burgers,Triple Cheeseburger,520,32,35,1180.0,7.0
74,Mcdonalds,entrees,burgers,Cheddar Bacon Onion Grilled Chicken Sandwich,360,44,6,1600.0,2.0
75,Mcdonalds,entrees,burgers,Bacon Clubhouse Burger,730,40,49,1280.0,12.0
76,Mcdonalds,entrees,burgers,Premium Grilled Chicken Bacon Clubhouse Sandwich,280,39,4,1290.0,2.0
77,Mcdonalds,entrees,burgers,Double Filet-O-Fish,540,28,47,790.0,5.0
78,Mcdonalds,entrees,burgers,Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,780,40,68,1550.0,12.0
79,Mcdonalds,entrees,burgers,Buffalo Ranch McChicken,360,15,39,800.0,5.0
80,Mcdonalds,entrees,burgers,Bacon Buffalo Ranch McChicken,430,20,40,1040.0,6.0
81,Mcdonalds,entrees,burgers,Southern Style Buttermilk Crispy Chicken Sandwich,470,25,48,950.0,5.0
82,Mcdonalds,entrees,burgers,Big Mac,540,25,46,940.0,9.0
83,Mcdonalds,entrees,burgers,Quarter-Pounder,440,26,40,710.0,9.0
84,Mcdonalds,entrees,burgers,Double Quarter Pounder with Cheese,780,51,43,1310.0,10.0
85,Mcdonalds,entrees,burgers,Hamburger,250,13,31,480.0,6.0
86,Mcdonalds,entrees,burgers,Hot ‘n Spicy McChicken,420,14,39,590.0,5.0
87,Mcdonalds,entrees,burgers,Cheeseburger,300,14,33,680.0,5.0
88,Mcdonalds,entrees,burgers,BBQ Ranch Burger,350,15,36,670.0,7.0
89,Mcdonalds,entrees,burgers,Grilled Onion Cheddar,310,15,31,580.0,6.0
90,Mcdonalds,entrees,burgers,Double Cheeseburger,440,25,34,1050.0,7.0
91,Mcdonalds,entrees,burgers,McDouble,390,22,33,850.0,7.0
92,Mcdonalds,entrees,burgers,Bacon McDouble,450,28,34,1090.0,7.0
93,Mcdonalds,entrees,burgers,Bacon Cheddar Hot ‘n Spicy McChicken,530,22,41,1040.0,6.0
94,Mcdonalds,entrees,burgers,Daily Double,510,24,38,780.0,7.0
95,Mcdonalds,entrees,burgers,Ranch Snack Wrap (Buttermilk Crispy),380,16,34,830.0,2.0
96,Mcdonalds,entrees,burgers,Ranch Snack Wrap (Grilled),300,21,25,890.0,2.0
97,Mcdonalds,entrees,burgers,Mac Snack Wrap,340,15,26,660.0,2.0
98,Mcdonalds,entrees,burgers,Jalapeño Double,440,23,34,990.0,6.0
99,Mcdonalds,entrees,burgers,Quarter Pounder Deluxe,650,32,44,1180.0,11.0
100,Mcdonalds,entrees,burgers,McTeri Deluxe,620,28,57,1190.0,25.0
101,Mcdonalds,entrees,burgers,Double Homestyle Burger,500,40,3,640.0,0.0
102,Mcdonalds,entrees,burgers,Bacon Double Cheeseburger,500,30,35,1290.0,8.0
103,Mcdonalds,entrees,burgers,Denali Big Mac,840,50,47,1080.0,9.0
104,Mcdonalds,entrees,burgers,Quarter Pounder Cheddar Bacon Onion,470,36,7,1060.0,2.0
105,Mcdonalds,entrees,burgers,Daily Double Burger Mustard Style,410,24,37,760.0,7.0
106,Mcdonalds,entrees,burgers,Double Grilled Onion Cheddar Burger,390,24,30,600.0,5.0
107,Mcdonalds,entrees,burgers,Grilled Onion Cheddar Burger Triple,530,34,32,920.0,5.0
108,Mcdonalds,entrees,burgers,Big Mac with Butter,560,25,46,940.0,9.0
109,Mcdonalds,entrees,burgers,Homestyle Burger,430,26,37,660.0,7.0
110,Mcdonalds,entrees,burgers,Cheeseburger Bacon,360,26,33,920.0,7.0
111,Mcdonalds,entrees,burgers,Triple Bacon Cheeseburger,590,38,36,1420.0,8.0
112,Mcdonalds,entrees,burgers,Hamburger New York,250,13,31,470.0,6.0
113,Mcdonalds,entrees,burgers,cheeseburger New York,300,15,33,680.0,7.0
114,Mcdonalds,entrees,burgers,Triple Cheeseburger New York,520,32,35,1170.0,7.0
115,Mcdonalds,entrees,burgers,Quarter Pounder Deluxe New York,630,31,43,1200.0,11.0
116,Mcdonalds,entrees,burgers,Quarter Pounder New York,420,26,39,720.0,9.0
117,Mcdonalds,entrees,burgers,Green Chili Double Cheeseburger New York,390,23,33,760.0,7.0
118,Mcdonalds,entrees,burgers,Double Cheeseburger New York,430,25,34,1050.0,7.0
119,Mcdonalds,entrees,burgers,Cheeseburger Bacon New York,360,20,33,920.0,7.0
120,Mcdonalds,entrees,burgers,Bacon Double Cheeseburger New York,500,30,35,1290.0,8.0
121,Mcdonalds,entrees,burgers,Triple Bacon Cheeseburger New York,590,38,36,1410.0,8.0
122,Mcdonalds,entrees,burgers,Bacon McDouble New York,450,28,34,1080.0,7.0
123,Mcdonalds,entrees,burgers,Quarter Pounder With Cheese New York,520,31,42,1130.0,10.0
124,Mcdonalds,entrees,burgers,Double Quarter Pounder With Cheese New York,750,51,42,1350.0,10.0
125,Mcdonalds,entrees,burgers,Signature Sriracha Burger on Artisan Roll,170,6,11,390.0,1.0
126,Mcdonalds,entrees,burgers,Double Lone Star Stack Burger,880,58,56,1550.0,16.0
127,Mcdonalds,entrees,burgers,Lone Star Stack Burger,720,43,56,1710.0,16.0
128,Mcdonalds,entrees,burgers,Bacon Quarter Pounder With Cheese,630,39,40,1470.0,10.0
129,Mcdonalds,entrees,burgers,Bacon Quarter Pounder With Cheese (Classic),640,39,44,1480.0,11.0
130,Mcdonalds,entrees,burgers,Spain’s Grand McExtreme Bacon,750,43,38,1310.0,8.0
131,Mcdonalds,entrees,burgers,Spain’s Double Grand McExtreme Bacon,970,63,38,1520.0,8.0
132,Mcdonalds,entrees,burgers,Bacon Big Mac,630,33,47,1300.0,9.0
133,Mcdonalds,entrees,chicken and sandwiches,Cheddar Bacon Onion Grilled Chciken Sandwich,360,44,6,1600.0,2.0
134,Mcdonalds,entrees,chicken and sandwiches,Premium Grilled Chicken Bacon Clubhouse Sandwich,280,39,4,1290.0,2.0
135,Mcdonalds,entrees,chicken and sandwiches,Double Filet-O-Fish,540,28,47,790.0,5.0
136,Mcdonalds,entrees,chicken and sandwiches,Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,780,40,68,1550.0,12.0
137,Mcdonalds,entrees,chicken and sandwiches,McChicken,410,15,39,590.0,5.0
138,Mcdonalds,entrees,chicken and sandwiches,Buffalo Ranch McChicken,360,15,39,800.0,5.0
139,Mcdonalds,entrees,chicken and sandwiches,Bacon Buffalo Ranch McChicken,430,20,40,1040.0,6.0
140,Mcdonalds,entrees,chicken and sandwiches,Bacon Cheddar McChicken,520,23,41,1030.0,6.0
141,Mcdonalds,entrees,chicken and sandwiches,Southern Style Buttermilk Crispy Chicken Sandwich,470,17,48,950.0,5.0
142,Mcdonalds,entrees,chicken and sandwiches,McRib,480,24,45,890.0,12.0
143,Mcdonalds,entrees,chicken and sandwiches,Hot ‘n Spicy McChicken,420,14,39,590.0,5.0
144,Mcdonalds,entrees,chicken and sandwiches,Bacon Cheddar Hot ‘n Spicy McChicken,530,22,41,1040.0,6.0
145,Mcdonalds,entrees,chicken and sandwiches,Chicken McNuggets (10 piece),440,24,26,840.0,0.0
146,Mcdonalds,entrees,chicken and sandwiches,Ranch Snack Wrap (Buttermilk Crispy),380,16,34,830.0,2.0
147,Mcdonalds,entrees,chicken and sandwiches,Chicken McNuggets (20 piece),890,49,53,1680.0,0.0
148,Mcdonalds,entrees,chicken and sandwiches,Chicken McNuggets (6 piece),270,15,16,510.0,0.0
