address,city,latitude,longitude,name,postalCode,province
1625 Veterans Pkwy,Jeffersonville,38.32967,-85.74938,popeyes,47130,IN
4337 Robinson St,Jackson,32.300625709,-90.258128236,popeyes,39209,AL
4725 Clinton Blvd,Jackson,32.328147485,-90.25158736799999,popeyes,39209,AL
9541 Highway 5,Douglasville,33.723988,-84.76281999999999,popeyes,30135-1511,GA
4815 Clio Rd,Flint,43.0582,-83.7334,popeyes,48504,MI
2410 S 5th St,Leesville,31.1184,-93.2702,popeyes,71446,LA
946 W Beale St,Kingman,35.1913,-114.0691,popeyes,86401,AZ
2200 S Range Ave,Denham Springs,30.4567,-90.9564,popeyes,70726,LA
3291 W Broward Blvd,Fort Lauderdale,26.1214,-80.1893,popeyes,33312,FL
39462 Trade Center Dr,Palmdale,34.601,-118.1432,popeyes,93551,CA
18126 Euclid Ave,Cleveland,41.555440000000004,-81.55167,popeyes,44112,OH
20 Airport Rd,Saint Louis,38.748146602,-90.307919704,popeyes,63135,MO
2402 E 38th St,Indianapolis,39.82561,-86.12149000000001,popeyes,46218,IN
1502 W Main St,Jacksonville,34.86721,-92.12541999999999,popeyes,72076,AR
538 E Robinson Ave,Springdale,36.167640000000006,-94.12654,popeyes,72764,AR
501 W California Ave,Ruston,32.52363,-92.64451,popeyes,71270,LA
523 Flatbush Ave,Hartford,41.741991,-72.713215,popeyes,6106,CT
1200 SW Green Oaks Blvd,Arlington,32.6592,-97.1333,popeyes,76017,TX
9661 Fairfax Blvd,Fairfax,38.864138491,-77.27774620000001,popeyes,22031,VA
86 13 Lefferts Blvd,Richmond Hill,40.686097,-73.8241192,popeyes,11418,NY
11815 Foothill Blvd,Rancho Cucamonga,34.10608065,-117.54753112700001,popeyes,91730,CA
12550 Bellaire Blvd,Houston,29.703866243,-95.604287981,popeyes,77072,TX
3825 General Degaulle Dr,New Orleans,29.921871795999998,-90.016630575,popeyes,70114,LA
1301 Veterans Memorial Blvd,Metairie,30.002122521,-90.137342,popeyes,70005,LA
16 White Horse Pike N,Lawnside,39.86676575,-75.039674016,popeyes,8045,NJ
6948 Westminster Blvd,Westminster,33.758938,-118.00793999999999,popeyes,92683,CA
329 N Main St,Lansing,39.25545,-94.9006,popeyes,66043,KS
1117 E Pine St,Tulsa,36.1772,-95.977,popeyes,74106,OK
1325 N Saint Louis,Batesville,35.8124,-91.6009,popeyes,72501,AR
1551 Saratoga Ave,San Jose,37.294338,-121.98968500000001,popeyes,95129,CA
46600 S E N Bend Way,North Bend,47.468166392,-121.716949939,popeyes,98045,WA
4502 W Fuqua St,Houston,29.613563377,-95.44632962600001,popeyes,77045,TX
1642 Aquarena Springs Dr,San Marcos,29.892564145,-97.915962525,popeyes,78666,TX
741 N 48th St,Lincoln,40.820435383,-96.65419,popeyes,68504,NE
13302 Preston Rd,Dallas,32.928337454,-96.803136166,popeyes,75240,TX
4328 Route 130,Willingboro,40.048523635,-74.899753332,popeyes,8046,NJ
380 Baychester Ave,Bronx,40.8686,-73.8316,popeyes,10475,NY
306 N Main St,Euless,32.8403,-97.0821,popeyes,76039,TX
2550 S U 80,Jackson,32.291666714,-90.22954810799999,popeyes,39204,AL
714 Vann Dr,Jackson,35.666857,-88.849062,popeyes,38305,TN
5245 W Colonial Dr,Orlando,28.552854999999997,-81.451888,popeyes,32808,FL
2954 Dale Blvd,Woodbridge,38.627339,-77.301262,popeyes,22193,VA
4309 Wisconsin Ave NW,Washington,38.9452,-77.0779,popeyes,20016,DC
2619 W Waters Ave,Tampa,28.0254,-82.4861,popeyes,33614,FL
599 Divisadero St,San Francisco,37.774911703,-122.437940399,popeyes,94117,CA
205 W Duval St,Lake City,30.189675488000002,-82.63913086,popeyes,32055,FL
105 SW 7th St,Renton,47.473290000000006,-122.21831,popeyes,98057,WA
4535 Rittiman Rd,San Antonio,29.484400173,-98.404210373,popeyes,78218,TX
7020 Carnegie Ave,Cleveland,41.50128,-81.63979,popeyes,44103,OH
1324 Red Wolf Blvd,Jonesboro,35.83019158,-90.669306823,popeyes,72401,AR
1325 N Happy Valley Rd,Nampa,43.596024,-116.51321999999999,popeyes,83687,ID
24901 Santa Clara St,Hayward,37.648926,-122.09113,popeyes,94544,CA
859 N Colony Rd,Wallingford,41.48,-72.81164,popeyes,06492-2410,CT
1300 N Lewis Ave,Waukegan,42.377761962,-87.855874676,popeyes,60085,IL
49 W 14th St,New York,40.737004339,-73.995964358,popeyes,10011,NY
435 S River Rd,Des Plaines,42.045656274,-87.885085082,popeyes,60016,IL
N. 38th St.,Baton Rouge,30.470328568000003,-91.153022221,popeyes,70805,LA
619 Highway 7 S,Holly Springs,34.75284,-89.45215999999999,popeyes,38635,MS
12102 Georgia Ave,Silver Spring,39.053187965999996,-77.05122383,popeyes,20902,MD
6509 W Park Ave,Houma,29.605999999999998,-90.7425,popeyes,70364,LA
1545 Lapalco Blvd,Harvey,29.875288491,-90.047569966,popeyes,70058,LA
4010 82nd St,Elmhurst,40.747264517,-73.883756238,popeyes,11373,NY
3500 E West Hwy,Hyattsville,38.967875,-76.95752900000001,popeyes,20782,MD
845 E 149th St,Bronx,40.812455182,-73.904564443,popeyes,10455,NY
52 Willoughby St,Brooklyn,40.69198,-73.98662,popeyes,11201,NY
624 Baltimore Blvd,Westminster,39.5646,-76.9736,popeyes,21157,MD
324 Main St,Massena,44.9213,-74.89021,mcdonalds,13662,NY
6098 State Highway 37,Massena,44.95008,-74.84553000000001,mcdonalds,13662,NY
401 N Jennings St,Saluda,34.00598,-81.7704,mcdonalds,29138,SC
1535 NW 50th St,Oklahoma City,35.52234,-97.5382,mcdonalds,73118,OK
301 University Blvd,Louisville,38.21999,-85.764824,mcdonalds,40208,KY
5812 NW Expressway,Oklahoma City,35.54815,-97.61717,mcdonalds,73132,OK
1111 New Pointe Blvd,Leland,34.21188,-78.02454,mcdonalds,28451,NC
108 Village Rd NE,Leland,34.234477000000005,-78.000649,mcdonalds,28451,NC
1116 Old Highway 60,Hardinsburg,37.792640999999996,-86.492762,mcdonalds,40143,KY
1423 Southwest Pkwy,Wichita Falls,33.85371,-98.50065,mcdonalds,76302,TX
908 Padre Blvd,South Padre Island,26.09105,-97.1643,mcdonalds,78597,TX
1131n N Main St,Miami,36.888259999999995,-94.87765999999999,mcdonalds,74354,OK
601 E Lincolnway,Minerva,40.732,-81.09812,mcdonalds,44657,OH
1400 24th Ave SW,Minot,48.20858,-101.3128,mcdonalds,58701,ND
8401 Gateway Blvd W Ste M4,El Paso,31.77465,-106.38071000000001,mcdonalds,79925,TX
351 River Hill Dr,Ashland,38.48554,-82.658096,mcdonalds,41101,KY
3700 N 1st Ave,Evansville,38.013220000000004,-87.57549,mcdonalds,47710,IN
2439 Springs Rd NE,Hickory,35.75332,-81.28572,mcdonalds,28601,NC
801 S Vaughn Dr,Brusly,30.387690999999997,-91.25265,mcdonalds,70719,LA
3898 Cleveland Hwy,Dalton,34.89383,-84.94654,mcdonalds,30721,GA
801 University St,Martin,36.3485,-88.87344,mcdonalds,38237,TN
1610 Sycamore View Rd,Memphis,35.1694,-89.86479,mcdonalds,38134,TN
2437 George St,La Crosse,43.85742,-91.23993,mcdonalds,54603,WI
1101 N Central Ave,Marshfield,44.67742,-90.16521,mcdonalds,54449,WI
1601 W Lincoln Ave,Yakima,46.6039,-120.53093,mcdonalds,98902,WA
5706 W 7800 S,West Jordan,40.60985,-112.0266,mcdonalds,84081,UT
4204 Milan Rd,Sandusky,41.418409999999994,-82.67352,mcdonalds,44870,OH
1302 Highway 35 N,Rockport,28.036688,-97.04238000000001,mcdonalds,78382,TX
3124 S Ten Mile Dr,Jefferson City,38.58068,-92.2352,mcdonalds,65109,MO
2984 Upland Pkwy,Sidney,41.138000000000005,-102.98557,mcdonalds,69162,NE
101 Smith Rd,Glasgow,37.0082,-85.92208000000001,mcdonalds,42141,KY
131 S Highway 27,Somerset,37.092240000000004,-84.61883,mcdonalds,42501,KY
4800 Frederica St,Owensboro,37.723743,-87.12389399999999,mcdonalds,42301,KY
120 S Davis Ave,Cleveland,33.74364,-90.71593,mcdonalds,38732,MS
905 W Corbett Ave,Swansboro,34.69765,-77.14086,mcdonalds,28584,NC
2441 Northgate St,Ottumwa,41.04905,-92.41165,mcdonalds,52501,IA
903 E Milam St,Mexia,31.68468,-96.47389,mcdonalds,76667,TX
1855 Main Ave N,Tillamook,45.486681,-123.845556,mcdonalds,97141,OR
5802 S Broadway Ave,Tyler,32.28572,-95.30372,mcdonalds,75703,TX
3112 N Navarro St,Victoria,28.82378,-97.000727,mcdonalds,77901,TX
1845 Fry Rd,Katy,29.79332,-95.71956,mcdonalds,77449,TX
104 E Grant St,Roma,26.402690000000003,-99.01235,mcdonalds,78584,TX
441 Craig St,Buffalo,31.45096,-96.07826,mcdonalds,75831,TX
2111 Ave F NW US 287,Childress,34.43504,-100.22784,mcdonalds,79201,TX
4622 S Fort Hood St,Killeen,31.078090000000003,-97.75698,mcdonalds,76542,TX
7104 S Fry Rd,Katy,29.71927,-95.78177,mcdonalds,77494,TX
1265 S Wheeler St,Jasper,30.911920000000002,-93.99569,mcdonalds,75951,TX
307 E Wise St,Bowie,33.557809000000006,-97.84626800000001,mcdonalds,76230,TX
821 S Sam Houston Blvd,San Benito,26.12559,-97.63723,mcdonalds,78586,TX
1501 7th St,Las Vegas,35.60569,-105.22363,mcdonalds,87701,NM
327 S Canal St,Carlsbad,32.41713,-104.2292,mcdonalds,88220,NM
2005 E Madison Ave,Bastrop,32.778729999999996,-91.8896,mcdonalds,71220,LA
320 NW 2nd St,Madison,44.007172,-97.115957,mcdonalds,57042,SD
507 MacArthur Dr,Alexandria,31.29621,-92.478,mcdonalds,71303,LA
259 High St,Ellsworth,44.53099,-68.40688,mcdonalds,4605,ME
304 Keyser Ave,Natchitoches,31.75412,-93.08107,mcdonalds,71457,LA
1310 E Main St,Stigler,35.25441,-95.10961999999999,mcdonalds,74462,OK
603 E Main St,Endicott,42.095909999999996,-76.05453,mcdonalds,13760,NY
1134 Paterson St,Ogdensburg,44.690205,-75.4774,mcdonalds,13669,NY
1212 W Main St,Fairfield,38.37957,-88.37697,mcdonalds,62837,IL
550 E Industrial Park Rd,Murphysboro,37.78839,-89.32524000000001,mcdonalds,62966,IL
51-67 E 161st St,Bronx,40.828053000000004,-73.92529,mcdonalds,10451,NY
2800 Outer Loop,Louisville,38.13627,-85.71168,mcdonalds,40219,KY
6103 White Horse Rd,Greenville,34.853023,-82.452875,mcdonalds,29611,SC
1173 Murfreesboro Rd,Nashville,36.1217,-86.7054,mcdonalds,37217,TN
31707 LA Highway 16,Denham Springs,30.528321999999996,-90.956294,mcdonalds,70726,LA
903 S Springfield Ave,Bolivar,37.60553,-93.40686,mcdonalds,65613,MO
1260 E Robinson Ave,Springdale,36.167320000000004,-94.11799,mcdonalds,72764,AR
1407 Main St,Keokuk,40.40352,-91.39081999999999,mcdonalds,52632,IA
9601 Jefferson Hwy,New Orleans,29.956277000000004,-90.217056,mcdonalds,70123,LA
1705 W Burlington Ave,Fairfield,41.00652,-91.98436,mcdonalds,52556,IA
2509 5th Ave S,Fort Dodge,42.5011,-94.16261,mcdonalds,50501,IA
620 Iowa St,Dubuque,42.499765999999994,-90.66504599999999,mcdonalds,52001,IA
614 S Highland St,Memphis,35.114670000000004,-89.94566999999999,mcdonalds,38111,TN
108 E Brazell Street,Reidsville,32.0872,-82.1169,mcdonalds,30453,GA
2515 Main St,Cedar Falls,42.51433,-92.44636,mcdonalds,50613,IA
1203 4th Stsw,Waverly,42.71363,-92.47495,mcdonalds,50677,IA
