abbr,location,obesity,diabetes,n_of_rests
AK,Alaska,29.5,7.7,10
AL,Alabama,36.2,13.2,184
AR,Arkansas,37.1,12.1,99
AZ,Arizona,29.5,9.7,142
CA,California,25.8,9.7,460
CO,Colorado,23.0,6.2,115
CT,Connecticut,27.4,8.5,83
DC,District of Columbia,24.7,8.4,14
DE,Delaware,33.5,9.1,20
FL,Florida,30.7,9.8,357
GA,Georgia,32.5,11.4,241
HI,Hawaii,24.9,9.5,25
IA,Iowa,35.3,8.1,119
ID,Idaho,28.4,8.1,68
IL,Illinois,31.8,9.5,282
IN,Indiana,34.1,10.4,317
KS,Kansas,34.4,8.5,63
KY,Kentucky,36.6,11.8,237
LA,Louisiana,36.8,11.1,171
MA,Massachusetts,25.7,8.3,99
MD,Maryland,30.9,9.8,118
ME,Maine,30.4,8.5,35
MI,Michigan,33.0,9.8,204
MN,Minnesota,30.1,7.6,103
MO,Missouri,35.0,10.2,222
MS,Mississippi,39.5,12.4,46
MT,Montana,26.9,6.9,15
NC,North Carolina,33.0,10.1,259
ND,North Dakota,35.1,8.2,33
NE,Nebraska,34.1,8.0,52
NH,New Hampshire,29.6,7.7,28
NJ,New Jersey,25.7,8.1,106
NM,New Mexico,32.3,10.4,72
NV,Nevada,29.5,10.1,71
NY,New York,27.6,9.4,235
OH,Ohio,34.0,9.7,411
OK,Oklahoma,34.8,10.9,134
OR,Oregon,29.9,8.4,79
PA,Pennsylvania,30.9,9.6,245
RI,Rhode Island,27.7,8.6,19
SC,South Carolina,34.3,11.5,157
SD,South Dakota,30.1,6.9,61
TN,Tennessee,34.4,11.2,151
TX,Texas,34.8,10.9,423
UT,Utah,27.8,7.7,99
VA,Virginia,30.4,9.6,271
VT,Vermont,27.5,7.3,35
WA,Washington,28.7,8.6,166
WI,Wisconsin,32.0,8.6,145
WV,West Virginia,39.5,12.7,75
WY,Wyoming,29.0,7.6,28
