Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.4479999542236,11.3870000839233,11.3129997253418,11.1840000152588,11.0570001602173
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,14.5050001144409,14.4270000457764,14.3140001296997,14.0900001525879,13.9060001373291
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.7840003967285,10.6840000152588,10.5710000991821,10.4160003662109,10.2869997024536
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,12.2833003997803,..
Afghanistan,AFG,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,..,16.1546001434326,..
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,15.4603996276855,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,33370794,34413603,35383128,36296400,37172386
Afghanistan,AFG,Net migration,SM.POP.NETM,..,..,..,-314602,..
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,8741565,9176450,9566712,9947922,10334090
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,48.1889991760254,48.3740005493164,48.5169982910156,48.6660003662109,48.8499984741211
Afghanistan,AFG,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,51.2011985778809,..
Afghanistan,AFG,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,51.5525016784668,..
Afghanistan,AFG,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,64.6766967773438,..
Afghanistan,AFG,Refugee population by country or territory of asylum,SM.POP.REFG,300423,257554,59771,75927,72231
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,20484873230.2111,19907111418.9938,19362642266.6484,20191764940.1602,19362969582.3643
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,613.856332882312,578.466352941708,547.228110150363,556.302138508508,520.896602719135
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.72454336495028,1.45131465458005,2.2603142045464,2.66529204636836,1.03066005804328
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-19.364432426957,-20.0786027160457,-21.745687752265,-21.4308350668726,-18.8748432308137
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,17682396266.0887,17285140982.1924,16482932351.9102,16916992771.6571,..
Afghanistan,AFG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-42975262.5,-167811525.731641,-78815379.7424351,-40738792.8386186,-78907434.2873816
Afghanistan,AFG,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,..,..,..,..,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.67399603536339,-0.661709164713696,4.38389195513914,4.9759515055383,..
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,57.2475,61.1434615416667,67.8660857692308,68.0269040822312,72.083247177304
Afghanistan,AFG,Lending interest rate (%),FR.INR.LEND,15,15,15,14.8366666666667,..
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.69522,3.2558,4.22836,4.05887,..
Afghanistan,AFG,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,33.15745,32.92914,33.81677,35.12171,36.69527
Afghanistan,AFG,"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,..,43.38836,44.58162,47.98298,48.78979
Afghanistan,AFG,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,..,31.9738,32.20814,33.2407,33.50124
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,43.01972
Afghanistan,AFG,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,50.69407,53.07514,55.34642
Afghanistan,AFG,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,..,..,..,..,..
Afghanistan,AFG,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..,..,..,..,..
Afghanistan,AFG,Coverage of unemployment benefits and ALMP (% of population),per_lm_alllm.cov_pop_tot,..,..,..,..,..
Afghanistan,AFG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,14.5310001373291,15.4899997711182,16.5030002593994,17.5499992370605,17.6019992828369
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,51.1147780534877,52.7120715007812,54.1971142358239,55.5959930153479,56.937760009803
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.587,24.803,25.02,25.25,25.495
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,60.1127586364746,60.0888137817383,61.451286315918,67.1226501464844,..
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..
Afghanistan,AFG,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..
Afghanistan,AFG,Poverty gap at national poverty lines (%),SI.POV.NAGP,..,..,..,..,..
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,54.5,..,..
Afghanistan,AFG,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ,..,..,..,..,..
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.4899997711182,17.0799999237061,15.2200002670288,13.75,12.3400001525879
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,15.1529998779297,17.0979995727539,14.5729999542236,12.5629997253418,11.2290000915527
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,19.0890007019043,17.068000793457,15.6780004501343,14.5900001525879,13.1269998550415
Albania,ALB,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,14.9300003051758,13.789999961853,..,..,..
Albania,ALB,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,21.3299999237061,20.3700008392334,..,..,..
Albania,ALB,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,17.1900005340576,19.1000003814697,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,2889104,2880703,2876101,2873457,2866376
